actor,action,rep,phase,frame_in_phase,0x08C,0x118,0x144,0x04C,0x1AC,0x044,0x048,0x054
p1,hp,0,post,8,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,0,post,9,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,0,post,10,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,0,post,11,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,0,post,12,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,0,post,13,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,1,pre,0,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,pre,1,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,pre,2,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,pre,3,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,pre,4,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,pre,5,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,pre,6,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,pre,7,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,hold,0,0,260578,2148654880,0,0,65536,0,65536
p1,hp,1,hold,1,0,260579,2148654648,0,0,65536,0,65536
p1,hp,1,hold,2,0,260579,2148654648,0,0,65536,0,65536
p1,hp,1,hold,3,0,260579,2148653952,0,0,65536,0,65536
p1,hp,1,hold,4,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,hold,5,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,hold,6,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,hold,7,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,hold,8,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,hold,9,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,post,0,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,post,1,0,260579,2148654880,0,0,65536,0,65536
p1,hp,1,post,2,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,1,post,3,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,1,post,4,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,1,post,5,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,1,post,6,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,1,post,7,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,1,post,8,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,1,post,9,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,1,post,10,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,1,post,11,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,1,post,12,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,1,post,13,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,2,pre,0,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,pre,1,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,pre,2,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,pre,3,0,260578,2148653720,0,0,65536,0,65536
p1,hp,2,pre,4,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,pre,5,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,pre,6,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,pre,7,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,hold,0,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,hold,1,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,hold,2,0,260578,2148654880,0,0,65536,0,65536
p1,hp,2,hold,3,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,hold,4,0,260579,2148654648,0,0,65536,0,65536
p1,hp,2,hold,5,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,hold,6,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,hold,7,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,hold,8,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,hold,9,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,post,0,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,post,1,0,260579,2148653720,0,0,65536,0,65536
p1,hp,2,post,2,0,260579,2148654880,0,0,65536,0,65536
p1,hp,2,post,3,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,2,post,4,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,2,post,5,3,260579,2148653720,0,417447,65536,0,65536
p1,hp,2,post,6,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,2,post,7,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,2,post,8,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,2,post,9,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,2,post,10,3,260579,2148654880,0,417447,65536,0,65536
p1,hp,2,post,11,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,2,post,12,3,260579,2148654648,0,417447,65536,0,65536
p1,hp,2,post,13,3,260579,2148654880,0,417447,65536,0,65536
p1,lk,0,pre,0,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,pre,1,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,pre,2,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,pre,3,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,pre,4,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,pre,5,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,pre,6,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,pre,7,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,hold,0,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,hold,1,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,hold,2,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,hold,3,0,260578,2148654880,0,0,65536,0,65536
p1,lk,0,hold,4,0,260579,2148654648,0,0,65536,0,65536
p1,lk,0,hold,5,0,260579,2148654880,4294901760,0,65536,0,65536
p1,lk,0,hold,6,0,260579,2148654880,0,0,65536,0,65536
p1,lk,0,hold,7,0,260579,2148653720,0,0,65536,0,65536
p1,lk,0,hold,8,0,260579,2148654880,0,0,65536,0,65536
p1,lk,0,hold,9,0,260579,2148654880,0,0,65536,0,65536
p1,lk,0,post,0,0,260579,2148654880,208,0,65536,0,65536
p1,lk,0,post,1,0,260580,2148654648,496,0,65536,96,65536
p1,lk,0,post,2,0,260580,2148654648,496,0,65536,96,65536
p1,lk,0,post,3,0,260580,2148654880,912,0,65536,304,65536
p1,lk,0,post,4,0,260580,2148654880,912,0,65536,304,65536
p1,lk,0,post,5,0,260580,2148654880,912,0,65536,304,65536
p1,lk,0,post,6,0,260580,2148654880,1504,0,65536,496,65536
p1,lk,0,post,7,0,260580,2148654880,2208,0,65536,704,65536
p1,lk,0,post,8,0,260580,2148654880,2208,0,65536,704,65536
p1,lk,0,post,9,0,260580,2148654880,4294901760,0,65536,0,65536
p1,lk,0,post,10,0,260580,2148654880,3008,0,65536,1008,65520
p1,lk,0,post,11,0,260580,2148654880,3824,0,65536,1312,65520
p1,lk,0,post,12,0,260580,2148654880,3824,0,65536,1312,65520
p1,lk,0,post,13,0,260580,2148654880,4720,0,65536,1616,65520
p1,lk,1,pre,0,0,260578,2148654880,0,0,65536,0,65536
p1,lk,1,pre,1,0,260578,2148654880,0,0,65536,0,65536
p1,lk,1,pre,2,0,260578,2148654880,0,0,65536,0,65536
p1,lk,1,pre,3,0,260578,2148654880,0,0,65536,0,65536
